Variable,Beta,95% CI
Study_Arm_Placebo,-0.097,"[-0.174, -0.001]"
Age,-0.199,"[-0.249, -0.143]"
Diagnostic_Delay,0.907,"[0.782, 1.030]"
TRICALS,2.185,"[1.978, 2.391]"
Vital_capacity,1.023,"[0.924, 1.136]"
Onset_Limb,0.577,"[0.450, 0.714]"
Sex_Male,0.173,"[0.061, 0.346]"
Sex_onset,-0.215,"[-0.390, -0.094]"
