variable,smd_unw,abs_smd_unw,smd_w,abs_smd_w
Diagnostic_Delay,0.06480633391574613,0.06480633391574613,0.012423990842073346,0.012423990842073346
Sex_Male,0.09981238022958984,0.09981238022958984,0.0037662508666636177,0.0037662508666636177
Age,-0.09985691076479754,0.09985691076479754,-0.029162270108387393,0.029162270108387393
Onset_Limb,0.10513551068109044,0.10513551068109044,0.012322755973315388,0.012322755973315388
